transaction_id,customer_id,amount,category,region,status,date
TXN000056,CUST0135,24.46,Roaming,North ,Completed,2023-03-28
TXN000057,CUST0060,513.42,Addon,East,Completed,2023-05-21
TXN000058,CUST0072,110.53,Data,East,Completed,2024-10-19
TXN000059,CUST0074,34.5,Voice,west,Completed,2024-03-01
TXN000060,CUST0277,72.87,SMS,South,Completed,2024-04-11
TXN000061,CUST0152,90.02,Roaming,West,Completed,2024-12-13
TXN000062,CUST0014,222.94,Roaming,North,Completed,2024-09-10
TXN000063,CUST0116,214.05,Voice,West,Completed,2024-03-11
TXN000064,CUST0142,151.99,Device,North,,2024-09-30
TXN000065,CUST0298,26.8,Voice,SOUTH,Completed,2023-07-04
TXN000066,CUST0159,34.66,Roaming,Central,Completed,10 Apr 2024
TXN000067,CUST0270,24.77,data,North,Failed,2024/06/05
TXN000068,CUST0281,139.12,SMS,Central,Completed,2024-03-10
TXN000069,CUST0119,324.5,Data,East,Completed,2024-07-19
TXN000070,CUST0279,95.32,,West,Completed,04-05-2024
TXN000071,CUST0255,36.3,Data,West,Completed,2024-01-29
TXN000072,CUST0113,132.48,Device,Central,Completed,12-30-2023
TXN000073,CUST0089,260.5,Voice,East,Completed,2023-08-20
TXN000074,CUST0258,213.05,Roaming,East,Completed,07-10-2023
TXN000075,CUST0145,329.86,,East,Failed,03-10-2024
TXN000076,CUST0074,58.84,Add-on,North,Completed,2024-09-11
TXN000077,CUST0008,42.34,SMS,East,Failed,2023-01-08
TXN000078,CUST0204,327.81,Device,Central,Completed,08-14-2024
TXN000079,CUST0098,170.75,Add-on,Central,Completed,05-25-2024
TXN000080,CUST0005,65.86,Data,South ,Completed,2023-08-31
TXN000081,CUST0048,213.42,Data,West,Completed,2024-12-30
TXN000082,CUST0227,,SMS,West ,Completed,2024-05-28
TXN000083,CUST0203,153.17,Roamng,SOUTH,Completed,2023-10-03
TXN000084,CUST0138,184.66,Data,Central,Completed,2024-02-25
TXN000085,CUST0263,80.56,Roaming,Central,Completed,2024-07-13
TXN000086,CUST0164,2452.41,SMS,Central,Completed,2024-08-13
TXN000087,CUST0298,121.4,Roaming,West,Pending,2024-01-11
TXN000088,CUST0273,292.63,Device,East,Completed,2023-02-04
TXN000089,CUST0252,284.85,Add-on,West,Pending,2023-02-08
TXN000090,CUST0120,278.18,SMS,South,Pending,2024-08-04
TXN000091,CUST0294,11.66,Add-on,East,Pending,2024-05-09
TXN000092,CUST0103,217.67,Roaming,North,Completed,2024-12-22
TXN000093,CUST0210,223.24,,North,Completed,2024-01-13
TXN000094,CUST0103,180.16,Device,Central,Refunded,2023-04-26
TXN000095,CUST0004,221.75,roaming,East,Completed,2024-08-17
TXN000096,CUST0264,286.75,SMS,WEST,Completed,2024-05-08
TXN000097,CUST0261,105.32,Roaming,South,Completed,2024-12-08
TXN000098,CUST0136,114.59,Voice,Central,Completed,2023-03-23
TXN000099,CUST0068,29.98,Data,Central,Completed,2023-05-26
TXN000100,CUST0068,83.01,Roaming,East,Completed,23/06/2024
TXN000101,CUST0049,164.66,Add-on,South,Pending,2023-10-14
TXN000102,CUST0037,237.39,SMS,North,Completed,2024-04-21
TXN000103,CUST0253,46.73,Voice,Central,Failed,2024/06/13
TXN000104,CUST0006,32.24,Data,Central,Completed,22/03/2023
TXN000105,CUST0064,173.17,Add-on,East,Completed,2024-06-19
TXN000106,CUST0049,10.28,Roaming,Centr.,,2024-09-16
TXN000107,CUST0127,39.47,Add-on,East,Completed,04-01-2023
TXN000108,CUST0163,14.43,Data,South,Failed,2023-09-09
TXN000109,CUST0268,37.39,Roaming,North,Completed,2024/04/28
TXN000110,CUST0117,40.01,Roaming,North,Completed,2024-10-07
TXN000111,CUST0171,83.57,Device,Central,Completed,2024-11-10
TXN000112,CUST0274,87.21,Add-on,Centr.,Completed,15 Nov 2024
TXN000113,CUST0279,321.03,Add-on,Est,Completed,2023-03-21
TXN000114,CUST0190,117.04,Data ,South,Completed,2024-12-01
TXN000115,CUST0263,202.78,Data,East,Completed,10/10/2024
TXN000116,CUST0201,26.5,Voice,West,Pending,2024-07-06
TXN000117,CUST0068,48.32,Roaming,Central,Completed,2024-08-16
TXN000118,CUST0092,192.07,Roaming,North,Completed,2023-11-16
TXN000119,CUST0173,18.14,Add-on,North,Completed,19 Sep 2024
TXN000120,CUST0124,110.0,DEVICE,Est,Completed,2023/02/24
TXN000121,CUST0108,147.21,Data,East,Completed,2023/12/18
TXN000122,CUST0042,148.25,add-on,Central,Completed,2024-07-01
TXN000123,CUST0074,13.48,Voice,Est,Completed,2023-01-12
TXN000124,CUST0177,68.32,Data,North,Refunded,2024-04-25
TXN000125,CUST0002,,SMS,North,Completed,2024-04-09
TXN000126,CUST0220,34.2,Voice,North,Completed,2024/06/08
TXN000127,CUST0166,188.32,SMS,West,Completed,2024-04-25
TXN000128,CUST0251,215.52,VOICE,East,Completed,2024/08/10
TXN000129,CUST0072,612.35,Device,Central,Completed,2023-12-06
TXN000130,CUST0210,,Roaming,North,Completed,07 Mar 2024
TXN000131,CUST0026,271.56,,West,Pending,2023-12-28
TXN000132,CUST0172,120.19,Voice,East,Failed,2023-10-29
TXN000133,CUST0292,80.13,Roaming,South,Pending,2023/10/24
TXN000134,CUST0037,29.58,Add-on,Cntrl,Completed,2023-06-21
TXN000135,CUST0098,209.49,Roaming,Central,Completed,06/02/2023
TXN000136,CUST0157,780.54,Sms,Central,Completed,2024-12-12
TXN000137,CUST0263,79.64,Add-on,Central,Pending,09-03-2024
TXN000138,CUST0253,19.69,Device,SOUTH,Completed,2023-11-08
TXN000139,CUST0108,252.44,Device,East,Pending,2024-07-31
TXN000140,CUST0182,228.24,SMS,East,Completed,2023-09-24
TXN000141,CUST0172,208.42,Add-on,East,Completed,04/03/2023
TXN000142,CUST0087,63.38,Roaming,central,Completed,2024-10-06
TXN000143,CUST0075,38.58,Sms,South,Completed,2024-04-29
TXN000144,CUST0293,162.23,roaming,West,Completed,15 Aug 2024
TXN000145,CUST0256,112.83,Add-on,Central,Completed,2023-06-23
TXN000146,CUST0294,39.45,Device,South,Completed,09/08/2024
TXN000147,CUST0217,183.71,Roaming,North,Completed,2023-02-22
TXN000148,CUST0267,718.7,Roaming,East,Completed,2024-11-03
TXN000149,CUST0292,216.29,Device,Central,Completed,2023-10-26
TXN000150,CUST0082,212.05,SMS,Central,Completed,01/10/2024
TXN000151,CUST0299,460.3,voice,South,Completed,01-28-2023
TXN000152,CUST0007,44.02,Roaming,east,Completed,21 Oct 2023
TXN000153,CUST0294,,,west,Completed,11 May 2024
TXN000154,CUST0051,594.18,Data,North,Completed,2023-03-26
TXN000155,CUST0254,37.1,SMS,South,Completed,2023-05-10
TXN000156,CUST0105,190.72,ROAMING,West,Completed,2024-06-01
TXN000157,CUST0109,142.21,Roaming,West,Completed,2023-03-20
TXN000158,CUST0296,142.46,Voice ,North,Failed,2023-10-12
TXN000159,CUST0065,189.44,Add-on,North ,Completed,2023-09-16
TXN000160,CUST0135,408.07,Voice,North,Completed,2023/05/16
TXN000161,CUST0293,238.89,Data,West ,Completed,2024-09-22
TXN000162,CUST0282,18.67,Data,South,Failed,2023-10-15
TXN000163,CUST0087,297.32,Add-on,West,Completed,09 Oct 2023
TXN000164,CUST0160,48.34,Data,South,Completed,09-21-2023
TXN000165,CUST0269,80.96,Data,West,Pending,2023/01/15
TXN000166,CUST0090,102.91,Roaming,North ,Completed,2023-04-25
TXN000167,CUST0112,108.35,Add-on,East,Pending,2024-09-10
TXN000168,CUST0149,95.69,Data,CENTRAL,Completed,2023/06/28
TXN000169,CUST0154,425.54,Voice,west,Failed,2024-08-28
TXN000170,CUST0116,193.64,Roamng,Centr.,Completed,04 Jun 2023
TXN000171,CUST0236,159.61,Device,Central,Completed,2024-11-05
TXN000172,CUST0177,17.67,Add-on,Central,Completed,2024-04-02
TXN000173,CUST0139,361.38,,West,Completed,2024-01-14
TXN000174,CUST0169,370.18,Voice,Est,Completed,2023-06-29
TXN000175,CUST0164,237.26,SMS,Central,Pending,2023-09-25
TXN000176,CUST0049,11.06,device,West,Pending,2024/12/18
TXN000177,CUST0216,,Device,west,Completed,2023-08-30
TXN000178,CUST0012,722.38,Data,West,Pending,2024-05-11
TXN000179,CUST0108,31.12,Data,West,Completed,2023-07-05
TXN000180,CUST0016,86.33,Add-on,West ,Completed,2024-06-24
TXN000181,CUST0089,,Device,South ,Completed,2023-02-03
TXN000182,CUST0080,105.82,Roaming,South,Completed,18 Dec 2023
TXN000183,CUST0098,12.02,Roaming,Central,Completed,2023-03-28
TXN000184,CUST0172,59.85,Voice,South,Completed,2023-05-29
TXN000185,CUST0126,16.84,SMS,West,Failed,09-01-2024
TXN000186,CUST0201,15.54,Add-on,West,Completed,07 Jun 2023
TXN000187,CUST0164,58.39,Roaming,South,Pending,2024-05-22
TXN000188,CUST0060,58.36,Roaming,Centr.,Completed,2024-02-27
TXN000189,CUST0150,242.06,Device,Central,Completed,2024-01-28
TXN000190,CUST0010,562.34,S.M.S,North,Completed,2023-09-01
TXN000191,CUST0016,79.59,Device,South,Pending,2024-11-07
TXN000192,CUST0102,94.03,SMS,West,Completed,2024-03-26
TXN000193,CUST0198,289.45,Device,West,Completed,2024-10-14
TXN000194,CUST0153,56.82,Device,North,Completed,2023-06-21
TXN000195,CUST0029,35.51,Data,S.,Completed,08-04-2023
TXN000196,CUST0035,297.69,Data,Central,Completed,2024-08-14
TXN000197,CUST0068,17.14,Roaming,East,Completed,2023-12-20
TXN000198,CUST0119,155.02,Data,North,Completed,2023-02-25
TXN000199,CUST0216,133.83,Roaming,Central,Completed,19/10/2024
TXN000200,CUST0281,73.68,Roaming,West,Completed,2023-09-28
TXN000201,CUST0092,66.79,SMS,North,Completed,2023-04-29
TXN000202,CUST0163,231.67,Roaming,North ,Completed,2023-02-23
TXN000203,CUST0029,23.56,Roaming,East,Completed,2023-06-21
TXN000204,CUST0092,50.53,Roaming,Central,Pending,2024-04-20
TXN000205,CUST0139,207.77,Dat,East,Completed,2024-02-13
TXN000206,CUST0082,129.22,,North,Completed,2024-05-02
TXN000207,CUST0131,,Voice,Central,Completed,2023/11/05
TXN000208,CUST0169,330.73,,South,,05-02-2024
TXN000209,CUST0198,84.99,add-on,North,Completed,2024-06-29
TXN000210,CUST0192,273.92,SMS,East ,Completed,2023-08-28
TXN000211,CUST0227,242.47,Add-on,east,Completed,2024-01-24
TXN000212,CUST0220,156.89,Voice,East,Pending,2024/11/30
TXN000213,CUST0271,112.33,Roaming,East,Completed,2024-12-23
TXN000214,CUST0240,593.47,Roaming ,East,Completed,02-04-2024
TXN000215,CUST0251,33.49,Voice,West,Completed,2024-04-30
TXN000216,CUST0258,203.73,SMS,North,Completed,2023-09-26
TXN000217,CUST0188,,Add-on,South,Completed,29/05/2023
TXN000218,CUST0068,71.93,Roaming,South,Completed,2024-06-27
TXN000219,CUST0240,65.38,roaming,Central,Completed,2024-03-21
TXN000220,CUST0271,450.72,data,West,Completed,2023-01-13
TXN000221,CUST0165,523.31,Devce,North,Completed,2023-10-23
TXN000222,CUST0184,40.32,Add-on,East,Completed,04/04/2024
TXN000223,CUST0090,13.34,Roaming,East,,2024-01-27
TXN000224,CUST0171,200.95,Add-on,South,,25/11/2024
TXN000225,CUST0222,91.19,Device,SOUTH,Refunded,2023-11-20
TXN000226,CUST0170,23.96,Add-on,West,Completed,2024-06-26
TXN000227,CUST0290,182.69,Device,North,,2024/11/30
TXN000228,CUST0131,,DEVICE,North,Pending,2023-02-12
TXN000229,CUST0060,600.73,Roaming,Central,Completed,2023-04-10
TXN000230,CUST0277,48.7,Roaming,East,Completed,2024-06-28
TXN000231,CUST0218,87.62,Device,North,Completed,14 Oct 2024
TXN000232,CUST0172,127.31,Voice,North,Completed,2023-12-29
TXN000233,CUST0137,245.32,Device,West,Completed,2024-03-18
TXN000234,CUST0129,129.39,Data,West ,Completed,17 Sep 2024
TXN000235,CUST0250,,Roaming,Central,Completed,2024-10-29
TXN000236,CUST0180,48.46,SMS,East,Completed,2023-10-07
TXN000237,CUST0033,291.52,Roamng,Cntrl,Failed,2023-12-10
TXN000238,CUST0268,93.96,Device,West,Completed,2023-10-04
TXN000239,CUST0267,32.79,Roaming,East,Completed,01/10/2023
TXN000240,CUST0011,173.68,,West,Failed,11/04/2023
TXN000241,CUST0277,46.52,Add-on,West,Completed,2023-09-19
TXN000242,CUST0096,25.4,SMS,Central,Refunded,11-01-2024
TXN000243,CUST0098,307.06,SMS,S.,Completed,2024-08-21
TXN000244,CUST0105,102.47,SMS,South,Completed,2024-02-05
TXN000245,CUST0047,0.0,Data,Central,Completed,2024-04-17
TXN000246,CUST0294,61.5,Data,West,Completed,2024-11-22
TXN000247,CUST0269,241.95,device,Wst,Completed,05 Sep 2023
TXN000248,CUST0287,27.81,Data ,West,Failed,2024-11-19
TXN000249,CUST0267,76.0,Voice,South,Completed,2024-08-25
TXN000250,CUST0165,582.93,SMS,East,Completed,2023/07/19
TXN000251,CUST0103,246.97,SMS,North,Pending,16/06/2024
TXN000252,CUST0110,113.15,Addon,Central,Completed,2023-12-12
TXN000253,CUST0197,72.28,Devce,Central,Completed,2024-11-24
TXN000254,CUST0194,318.52,Data,Wst,Pending,2024-12-07
TXN000255,CUST0102,128.07,Add-on,West,Completed,2023-07-04
TXN000256,CUST0143,223.09,sms,South,Completed,2023-11-17
TXN000257,CUST0176,220.43,Roaming,West,Pending,2024-07-14
TXN000258,CUST0292,12.72,Data,East,Completed,11/01/2023
TXN000259,CUST0274,30.24,Roaming,Central,Completed,11-19-2024
TXN000260,CUST0141,171.66,SMS,North,Completed,2023-01-09
TXN000261,CUST0218,36.44,SMS,West,Completed,11/03/2023
TXN000262,CUST0289,54.26,Roaming,East,Pending,2023-01-13
TXN000263,CUST0049,449.6,SMS,North,Completed,26 Feb 2024
TXN000264,CUST0291,133.21,DATA,South,Completed,2023-04-11
TXN000265,CUST0132,218.38,add-on,North,Completed,2024-06-21
TXN000266,CUST0183,132.46,Voice,Central,,17 Apr 2023
TXN000267,CUST0029,130.62,Voice,east,Completed,02 Dec 2024
TXN000268,CUST0129,24.83,Voice ,Central,Pending,2024-04-01
TXN000269,CUST0085,73.16,Add-on,North,Completed,2023-12-26
TXN000270,CUST0160,59.78,,Central,Completed,2023-08-13
TXN000271,CUST0222,84.32,Device,North,Completed,2023-10-18
TXN000272,CUST0283,250.18,Data,South,Completed,2023-09-15
TXN000273,CUST0102,79.77,add-on,Central,Completed,2023-07-17
TXN000274,CUST0147,100.14,Data,Central,Completed,2023-02-04
TXN000275,CUST0292,,SMS,Central,Completed,25/01/2023
TXN000276,CUST0071,24.71,Data,North,Completed,2024-09-26
TXN000277,CUST0225,97.26,SMS ,Central,Completed,2023-04-05
TXN000278,CUST0040,42.65,Voice,Central,Completed,2023-02-28
TXN000279,CUST0232,41.0,Data,South,Completed,2024-08-31
TXN000280,CUST0110,24.81,,WEST,Completed,2024-11-03
TXN000281,CUST0129,76.16,SMS,Central,Pending,2023-08-11
TXN000282,CUST0269,222.5,Data ,North,Completed,2024-09-05
TXN000283,CUST0113,58.54,ROAMING,North,Refunded,10-15-2024
TXN000284,CUST0211,66.17,Add-on,Central,Completed,2023-05-05
TXN000285,CUST0120,164.37,Roaming,S.,Completed,26 Dec 2024
TXN000286,CUST0122,42.69,Device,North,Refunded,2023-05-03
TXN000287,CUST0032,350.89,Device,East,Completed,2023-03-30
TXN000288,CUST0085,120.15,Roaming,South,Failed,2024-09-11
TXN000289,CUST0266,99.02,SMS,South,,2023-05-14
TXN000290,CUST0298,-364.75,Data,Central,Completed,2024-01-20
TXN000291,CUST0134,37.23,,west,Completed,03/11/2024
TXN000292,CUST0142,152.58,Roaming,North ,Completed,2024-10-25
TXN000293,CUST0140,77.67,,Central,Completed,2024-08-02
TXN000294,CUST0080,,Data,central,Completed,2023-07-09
TXN000295,CUST0061,37.74,sms,East,Completed,2023-04-24
TXN000296,CUST0281,116.1,Roaming,West,Completed,12-13-2024
TXN000297,CUST0220,146.74,Device,Centr.,Completed,2023-07-08
TXN000298,CUST0194,15.09,Roaming,North,Completed,2023-09-17
TXN000299,CUST0132,77.81,SMS,west,Failed,2023/10/29
TXN000300,CUST0018,207.87,Device,North,Completed,2024-04-23
TXN000301,CUST0232,267.53,Data,East,Pending,2024-11-07
TXN000302,CUST0169,66.35,Roaming,West,Pending,2023-03-19
TXN000303,CUST0250,250.36,Data,South,Completed,10-16-2024
TXN000304,CUST0005,525.16,Add-on,West,Completed,09 Apr 2024
TXN000305,CUST0159,301.6,Add-on,north,Completed,2023-10-11
TXN000306,CUST0117,28.77,Voice,Central,Completed,2024/03/13
TXN000307,CUST0235,211.91,,East,Completed,2024-12-09
TXN000308,CUST0090,67.78,roaming,West,Completed,11-14-2024
TXN000309,CUST0176,678.72,Device,East,Completed,2023-11-28
TXN000310,CUST0279,109.64,Add-on,NORTH,Completed,2023-09-21
TXN000311,CUST0287,29.59,SMS,North,Completed,06-15-2023
TXN000312,CUST0191,203.75,VOICE,North ,Completed,03-17-2023
TXN000313,CUST0204,,Device,Central,Completed,2023-10-11
TXN000314,CUST0141,885.33,SMS,South,,2023-03-05
TXN000315,CUST0002,595.18,,East,Completed,2024-01-27
TXN000316,CUST0169,170.13,Roaming,South,Completed,2024-02-02
TXN000317,CUST0283,30.86,Voice,South,Completed,2023-12-07
TXN000318,CUST0084,184.17,Roaming,East,Completed,03 Mar 2023
TXN000319,CUST0160,24.65,Add-on,North ,Completed,2023-09-22
TXN000320,CUST0097,14.47,Data,South,Completed,2023-09-29
TXN000321,CUST0105,269.71,Device,East,Completed,02/07/2023
TXN000322,CUST0065,45.31,VOICE,West,Completed,2024-03-27
TXN000323,CUST0017,81.47,SMS,South,Completed,2023-03-13
TXN000324,CUST0161,554.35,SMS,North,Completed,18 May 2024
TXN000325,CUST0235,71.61,Data,Central,Completed,2023-07-25
TXN000326,CUST0084,62.75,,East,Completed,2024/09/16
TXN000327,CUST0235,385.54,Device ,South,Pending,2024-02-07
TXN000328,CUST0183,,roaming,North,Completed,07-02-2023
TXN000329,CUST0248,223.81,Voice ,North,Completed,2024-10-22
TXN000330,CUST0255,674.25,Device,East ,Completed,2024-05-18
TXN000331,CUST0099,357.34,Add-on,West,Completed,2023-04-22
TXN000332,CUST0005,168.19,,North,Completed,2023-05-28
TXN000333,CUST0150,66.54,Add-on,East ,Completed,07-07-2024
TXN000334,CUST0188,,DEVICE,S.,Completed,2024-03-17
TXN000335,CUST0195,266.6,Data,West,Completed,08-12-2023
TXN000336,CUST0274,327.82,Device,East,Completed,2024-09-20
TXN000337,CUST0087,121.8,SMS,East,Pending,2024-10-20
TXN000338,CUST0261,52.02,SMS ,West,Pending,19 Apr 2023
TXN000339,CUST0284,27.98,Data,North,Completed,2024-03-28
TXN000340,CUST0241,23.68,,North,Completed,2023-09-23
TXN000341,CUST0252,200.45,Device,South,Completed,2023-04-16
TXN000342,CUST0251,91.74,Roaming ,South,Completed,2023-02-05
TXN000343,CUST0098,363.65,Roaming,Central,Completed,2023-03-16
TXN000344,CUST0295,211.87,Voice,Central,Completed,2023-03-14
TXN000345,CUST0137,41.84,SMS,South,Completed,2024-08-08
TXN000346,CUST0187,152.7,Data,West,Failed,2023-09-14
TXN000347,CUST0240,95.77,Add-on,Central,Completed,2024/04/01
TXN000348,CUST0139,139.15,sms,Central,Completed,2023-01-20
TXN000349,CUST0006,210.95,DEVICE,West,Completed,2024-05-24
TXN000350,CUST0271,256.14,SMS ,North,Completed,2023-06-02
TXN000351,CUST0219,288.43,Roaming,East,Completed,2024-10-30
TXN000352,CUST0120,53.95,Add-on,North,Completed,2024-10-17
TXN000353,CUST0112,14.74,Device,East,Completed,2023-01-01
TXN000354,CUST0171,211.65,SMS,West,Pending,2023-02-08
TXN000355,CUST0083,26.87,Voice,Central,Completed,2024-11-11
TXN000356,CUST0269,66.73,Roaming,West ,Completed,2024-02-04
TXN000357,CUST0217,10.57,Roaming,North,Completed,30 Sep 2023
TXN000358,CUST0185,181.7,SMS,Wst,Pending,05 Jun 2023
TXN000359,CUST0016,37.43,device,North,Completed,2024-12-17
TXN000360,CUST0119,169.75,Device,West,Completed,04 Dec 2023
TXN000361,CUST0107,729.5,Roaming,South,Pending,2024-02-05
TXN000362,CUST0005,21.32,Add-on,north,Completed,2024-08-11
TXN000363,CUST0096,22.03,Device,East,Refunded,04/01/2023
TXN000364,CUST0218,72.41,Voice,Central,Completed,06-11-2024
TXN000365,CUST0023,311.92,Data,Central,Completed,2024/12/25
TXN000366,CUST0023,46.41,Add-on,North ,Completed,2024/05/17
TXN000367,CUST0100,77.03,Add-on,South,Completed,2024-05-04
TXN000368,CUST0203,20.64,Device,Central,Completed,2024-03-22
TXN000369,CUST0228,226.05,voice,South,Completed,2024-02-18
TXN000370,CUST0139,88.71,Device,East,Completed,13 Mar 2023
TXN000371,CUST0004,223.6,Roaming,Central,Completed,2024-07-07
TXN000372,CUST0190,360.9,Voice,west,Pending,2023-08-20
TXN000373,CUST0191,49.74,ADD-ON,West,Pending,01-04-2023
TXN000374,CUST0100,257.07,add_on,North,Completed,29 Jan 2024
TXN000375,CUST0279,19.14,,Cntrl,Pending,06 Dec 2024
TXN000376,CUST0161,353.67,Sms,South,Completed,08/05/2024
TXN000377,CUST0189,167.8,Add-on,South,Completed,2023-05-05
TXN000378,CUST0078,320.99,Device,East,Completed,2024-08-03
TXN000379,CUST0136,10.03,,Centr.,Completed,2024-07-02
TXN000380,CUST0043,37.78,Roaming,South ,Completed,2024-01-03
TXN000381,CUST0077,84.09,device,South,Completed,08 Dec 2023
TXN000382,CUST0236,81.59,Add-on,Central,Completed,2024-11-29
TXN000383,CUST0040,48.57,Add-on,West,Completed,07/11/2023
TXN000384,CUST0016,82.1,Data,Central,Completed,2024-02-15
TXN000385,CUST0248,30.69,Device,West,Pending,2023-02-26
TXN000386,CUST0127,89.85,Voice,North,Completed,10-09-2024
TXN000387,CUST0137,253.19,S.M.S,NORTH,Refunded,2024-10-24
TXN000388,CUST0132,107.82,Roamng,West,Pending,2023-04-03
TXN000389,CUST0087,12.72,Voice,Central,Failed,2024/01/10
TXN000390,CUST0140,92.08,Voice,East,Failed,07-01-2024
TXN000391,CUST0260,14.13,Voice,South ,Pending,2023-12-15
TXN000392,CUST0062,518.29,Add-on,North,Completed,2023-03-24
TXN000393,CUST0100,30.45,Add-on,North,Completed,2024-04-15
TXN000394,CUST0218,194.49,SMS,West,Completed,2023-10-24
TXN000395,CUST0051,550.55,Roaming,East,Completed,25 Oct 2024
TXN000396,CUST0299,272.34,Roaming,Central,Completed,2023-07-27
TXN000397,CUST0014,190.25,SMS,East,Completed,2023-06-30
TXN000398,CUST0068,284.38,data,West,Refunded,2024-07-21
TXN000399,CUST0049,610.94,Add-on,East,Pending,2023-02-10
TXN000400,CUST0125,155.67,Voice,Sth,Pending,2024-01-29
TXN000401,CUST0003,132.87,Roaming,Central,Completed,07 Nov 2024
TXN000402,CUST0296,158.43,SMS,Central,Completed,2023-07-15
TXN000403,CUST0122,124.11,SMS,East,Completed,2023-11-03
TXN000404,CUST0089,161.22,Add-on,North,Completed,13/12/2024
TXN000405,CUST0154,99.63,Voice,South,Completed,2024-02-04
TXN000406,CUST0198,46.97,SMS,CENTRAL,Completed,2023-04-20
TXN000407,CUST0134,29.22,add_on,Central,Failed,2024-10-07
TXN000408,CUST0105,20.62,Devce,Nrth,Completed,2024-12-06
TXN000409,CUST0127,1992.46,Voice,East,Completed,2024-01-03
TXN000410,CUST0094,-31.25,Roaming,North,Completed,2024/05/13
TXN000411,CUST0154,135.61,Vce,West,Completed,03-28-2023
TXN000412,CUST0218,60.08,Data ,North,Completed,2024-10-09
TXN000413,CUST0231,271.05,Voice,South,Failed,2024-03-24
TXN000414,CUST0141,21.57,Voice,Cntrl,Completed,2023-07-14
TXN000415,CUST0127,48.5,DATA,East,Completed,2023-05-24
TXN000416,CUST0003,206.54,Voice ,West,Completed,2023-02-06
TXN000417,CUST0210,147.0,SMS,South,Completed,2023-07-17
